asin,filename,image_url,title,author,category_id,genre
"044310073X","044310073X.jpg","http://ecx.images-amazon.com/images/I/41kSLEoswsL.jpg","Oral and Maxillofacial Surgery: An Objective-Based Textbook, 2e","","16","Medical Books"
"1438005687","1438005687.jpg","http://ecx.images-amazon.com/images/I/510l0qhi01L.jpg","Barron's GRE, 21st Edition","Sharon Weiner Green M.A.","28","Test Preparation"
"60750715","0060750715.jpg","http://ecx.images-amazon.com/images/I/51p5aUY%2BOKL.jpg","George Balanchine: The Ballet Maker (Eminent Lives)","Robert Gottlieb","1","Biographies & Memoirs"
"1580237959","1580237959.jpg","http://ecx.images-amazon.com/images/I/51pum0eWe4L.jpg","A Partner in Holiness: Deepening Mindfulness, Practicing Compassion and Enriching Our Lives Through the Wisdom of R. Levi Yitzhak of Berdichev's, Vol. 2  (Institute for Jewish Spirituality)","Rabbi Jonathan P. Slater DMin","21","Religion & Spirituality"
"135137829","0135137829.jpg","http://ecx.images-amazon.com/images/I/51PuTPPCxaL.jpg","Construction Scheduling: Principles and Practices (2nd Edition)","Jay S. Newitt","0","Arts & Photography"
"312556411","0312556411.jpg","http://ecx.images-amazon.com/images/I/51uNnIlIwrL.jpg","Literature and Its Writers: A Compact Introduction to Fiction, Poetry, and Drama","Ann Charters","15","Literature & Fiction"
"393339157","0393339157.jpg","http://ecx.images-amazon.com/images/I/51VIlqRy-VL.jpg","Straight on Till Morning: The Life of Beryl Markham","Mary S. Lovell","10","Engineering & Transportation"
"521456924","0521456924.jpg","http://ecx.images-amazon.com/images/I/41n7iZq-0jL.jpg","Diagrammatica: The Path to Feynman Diagrams (Cambridge Lecture Notes in Physics)","Martinus Veltman","23","Science & Math"
"898699223","0898699223.jpg","http://ecx.images-amazon.com/images/I/41xLYt-v6nL.jpg","Book of Common Prayer 1979: Large Print edition","","9","Christian Books & Bibles"
"545700272","0545700272.jpg","http://ecx.images-amazon.com/images/I/51KyLXczCqL.jpg","A Handful of Stars","Cynthia Lord","4","Children's Books"
"1616494441","1616494441.jpg","http://ecx.images-amazon.com/images/I/51Jku59B9CL.jpg","Almost Anorexic: Is My (or My Loved One's) Relationship with Food a Problem? (The Almost Effect)","Ph.D. Jennifer J Thomas","25","Self-Help"
"1627227318","1627227318.jpg","http://ecx.images-amazon.com/images/I/41LkijoCvuL.jpg","Pre-ANDA Litigation: Strategies and Tactics for Developing a Drug Product and Patent Portfolio","","14","Law"
"1849056536","1849056536.jpg","http://ecx.images-amazon.com/images/I/51Tjv23guEL.jpg","Creative, Successful, Dyslexic: 23 High Achievers Share Their Stories","","19","Politics & Social Sciences"
"313335427","0313335427.jpg","http://ecx.images-amazon.com/images/I/51C16779N8L.jpg","Organ Transplantation (Health and Medical Issues Today)","David Petechuk","11","Health, Fitness & Dieting"
"316185434","0316185434.jpg","http://ecx.images-amazon.com/images/I/51JFeqcU96L.jpg","The Age of Acquiescence: The Life and Death of American Resistance to Organized Wealth and Power","Steve Fraser","2","Business & Money"
"972467637","0972467637.jpg","http://ecx.images-amazon.com/images/I/51kOYa-LHML.jpg","The Multiples Manual: Preparing and Caring for Twins or Triplets","Lynn Lorenz","18","Parenting & Relationships"
"962904201","0962904201.jpg","http://ecx.images-amazon.com/images/I/51bWdcsbX0L.jpg","Oregon High: A Climbing Guide to Nine Cascade Volcanoes","Jeff Thomas","26","Sports & Outdoors"
"596527322","0596527322.jpg","http://ecx.images-amazon.com/images/I/5159f7hqJjL.jpg","HTML & XHTML: The Definitive Guide (6th Edition)","Chuck Musciano","6","Computers & Technology"
"1514196239","1514196239.jpg","http://ecx.images-amazon.com/images/I/5178fq2DV3L.jpg","Anti Inflammatory Cookbook - 50 Slow Cooker Recipes With Anti - Inflammatory Ingredients: Great For Gout! (Slow Cooker Cookbooks)","Kate Marsh","7","Cookbooks, Food & Wine"
"079382883X","079382883X.jpg","http://ecx.images-amazon.com/images/I/51zi2q5JfbL.jpg","Leopard Geckos (Complete Herp Care)","Gerald Merker","8","Crafts, Hobbies & Home"
"1907732837","1907732837.jpg","http://ecx.images-amazon.com/images/I/51AdbQZwDuL.jpg","Botswana & Its National Heritage","Sandy Grant","29","Travel"
"871137607","0871137607.jpg","http://ecx.images-amazon.com/images/I/51EdPM0rHkL.jpg","Eat the Rich: A Treatise on Economics","P.  J. O'Rourke","13","Humor & Entertainment"
"553508784","0553508784.jpg","http://ecx.images-amazon.com/images/I/51V7y865BxL.jpg","Paw Patrol Phonics Box Set (PAW Patrol) (Step into Reading)","Jennifer Liberts","20","Reference"
"1780548273","1780548273.jpg","http://ecx.images-amazon.com/images/I/61Yudxp-yeL.jpg","The Official Doctor Who2016 Square Calendar","","3","Calendars"
"1888216468","1888216468.jpg","http://ecx.images-amazon.com/images/I/51t0aUEe0tL.jpg","Battlefields of the Civil War Map","National Geographic Society","12","History"
"1932234969","1932234969.jpg","http://ecx.images-amazon.com/images/I/51IybjClfrL.jpg","5 Centimeters per Second","","5","Comics & Graphic Novels"
"1583419543","1583419543.jpg","http://ecx.images-amazon.com/images/I/51AiMilDWpL.jpg","The Story of the New Orleans Hornets (The NBA: a History of Hoops)","Tyler Omoth","27","Teen & Young Adult"
